"Brand","Url"
"Gewo","https://www.contra.de/"
"Nittaku","https://nittaku.tt/"
"Pincesobchod","https://www.pincesobchod.cz"
"Spinway","https://www.spinway.sk/"
"Sportspin","https://www.sportspin.cz/"
"Stoten","https://stoten.cz"
"VseNaStolniTenis","https://www.vsenastolnitenis.cz/"
"Adidas","https://www.adidas.cz/"
"Andro","https://andro.de"
"Arbalest",""
"Armstrong","https://armstrong.tokyo.jp/"
"Asics","https://asics.com"
"Avalox","https://avalox.com"
"Barna","via Der Materialspezialist"
"Bauerfeind","https://www.bauerfeind.us/"
"Blackstone",""
"Bomb",""
"Butterfly","https://butterfly.tt"
"Carlton","https://carlton-sports.com"
"Cartlon","https://carlton-sports.com"
"Column Name","Content"
"Contra","https://www.contra.de/"
"Cornilleau","https://cornilleau.com"
"CTT",""
"Dawei","https://daweisports.com"
"Der Materialspezialist","https://der-materialspezialist.com"
"Desaka","https://desaka.cz"
"DHS","https://dhs-sports.com"
"Dingo Swiss","https://dingyitt.com"
"Donic","https://donic.com"
"Double Fish","https://www.doublefish.com/"
"Dr. Neubauer","https://drneubauer.com"
"Enebe","https://enebetenisdemesa.com"
"Enlio","https://www.cnenlio.com/"
"Exacto",""
"FastPong","https://fastpong.com/"
"Friendship","https://en.729sports.com/"
"Friendship (729)","https://en.729sports.com"
"FS",""
"Gambler","https://gamblertt.com/shop/"
"Giant Dragon","https://giant-dragon.com"
"Globe",""
"Gold Way",""
"Hallmark","https://hallmarktabletennis.co.uk"
"Hanno","https://hanno-tischtennis.de/en/"
"Imperial",""
"Japsko","https://japsko.se"
"JapTec",""
"Joola","https://joola.com"
"Juic","https://www.juic.co.jp/"
"Kingnik",""
"Kokutaku","https://www.kokutaku.net/"
"KTL",""
"Lear",""
"Lion","https://lionmfg.com"
"LKT",""
"Meteor","http://www.china-meteot.com"
"Milky Way","http://www.yinhe1986.cn/"
"Mizuno","https://mizuno.com"
"Nexy","https://nexy.com"
"Palio","https://palioett.com"
"PimplePark","https://pimplepark.com"
"Sanwei","https://sanweisport.com"
"Sauer&Troeger","https://sauer-troeger.com"
"Schildkröt","https://www.xn--schildkrt-sport-gtb.com/"
"Spinlord","https://spinlord-tt.de"
"Sponeta","https://www.sponeta.de/en/"
"Stag","https://stagiconic.com/"
"Stiga","https://stigasports.com"
"SunFlex","https://www.sunflex-sport.com/en/home"
"Super Kaiser",""
"Sword","https://swordtt.com"
"Tibhar","https://tibhar.info"
"TSP","https://victas.com"
"TT Metal",""
"Tuning",""
"Turnier",""
"Tuttle","https://tuttle-tabletennis.com"
"Victas","https://victas.com"
"Vulkan",""
"Xiom","https://xiom.eu"
"Xushaofa","https://www.xushaofa-sports.com/"
"Yasaka","https://yasaka-jp.com"
"YinHe","http://www.yinhe1986.cn/"
"YoungJoy",""
